Rank,Score,"Programming Skills","Driver Skills","Highest Programming Skills","Highest Driver Skills","Highest Programming Score Timestamp","Highest Driver Score Timestamp","Highest Programming Score Stop Time","Highest Driver Score Stop Time","Team Number","Team Name",Organization,"Event Region",Country/Region
398,140,0,140,0,140,,"2022-12-10 22:24:52",0,0,95111V,"Garage Productions","Creative Learning Foundation","California - Region 2","United States"
399,139,53,86,53,86,"2022-12-17 14:49:06","2022-12-17 17:52:31",0,0,4478M,"M team","MASUK HIGH SCHOOL","Southern New England","United States"
400,139,51,88,51,88,"2022-12-03 23:09:30","2022-12-03 20:18:48",45,0,29760A,Terrarians,"SHASTA CHARTER ACADEMY","California - Region 1","United States"
401,139,48,91,48,91,"2022-12-03 18:57:05","2022-12-03 16:49:36",41,27,7460B,"AHS - Biggest Bertha","APOLLO HIGH SCHOOL",Kentucky,"United States"
402,139,47,92,47,92,"2022-12-03 19:48:37","2022-12-03 19:55:50",0,0,99707K,"ROBO Chickens","Sioux Falls - Independent","South Dakota","United States"
403,139,44,95,44,95,"2022-12-10 19:53:54","2022-12-10 18:01:54",0,0,1011T,"Ten Ton Robotics","West Vancouver School District #45","British Columbia (BC)",Canada
404,139,36,103,36,118,"2022-11-12 19:24:16","2022-11-19 21:51:18",43,0,11101B,"Barcbots Getting There",Barcbots,"California - Region 2","United States"
405,139,18,121,18,121,"2022-12-10 17:38:59","2022-12-10 14:13:06",30,0,24816C,Ctrl-C,"Happy Valley High School",Tennessee,"United States"
406,138,56,82,56,119,"2022-11-19 20:00:34","2022-12-16 21:33:43",0,0,7225B,"Southland Rebelbots","Southland High School",Minnesota,"United States"
407,138,32,106,48,106,"2022-12-17 20:02:18","2022-12-10 17:22:12",0,0,6008X,Rich.Nerds,"NORTH UNION HIGH SCHOOL",Ohio,"United States"
408,138,40,98,40,114,"2022-12-02 16:44:03","2022-12-10 14:42:16",36,0,4478A,"a Team","MASUK HIGH SCHOOL","Southern New England","United States"
409,138,34,104,34,110,"2022-11-05 19:53:32","2022-12-10 19:19:04",0,0,2131G,SlothBots,"DAVIS HIGH",Utah,"United States"
410,138,30,108,30,108,"2022-12-03 19:15:32","2022-12-03 19:53:10",47,0,64040C,"Lake George Warriors","Lake George Junior-senior High School","New York-North","United States"
411,137,56,81,56,81,"2022-11-12 13:36:11","2022-11-12 14:34:28",0,0,550X,"AHS Robotics","APOPKA HIGH","Florida - North/Central","United States"
412,137,55,82,55,82,"2022-11-12 00:50:40","2022-11-12 01:45:48",54,0,99484A,"DOXA Robotics","Christian Academy in Japan",Japan,Japan
413,137,51,86,51,86,"2022-12-03 15:56:20","2022-12-03 17:59:31",6,1,11591P,"So Many Problems","PLAINWELL HIGH SCHOOL",Michigan,"United States"
414,137,50,87,50,97,"2022-12-09 01:29:24","2022-10-08 15:53:19",0,0,12876A,"UNDERSCORE _","CHATTANOOGA SCHOOL FOR THE LIBERAL ARTS",Tennessee,"United States"
415,137,46,91,46,91,"2022-12-10 19:57:01","2022-12-10 18:39:11",0,0,614A,"Salamander Army","Under the GUI - Kitsilano","British Columbia (BC)",Canada
416,137,38,99,38,103,"2022-12-10 22:09:46","2022-11-05 18:54:27",34,0,2131J,"Gecko Assassins","DAVIS HIGH",Utah,"United States"
417,137,38,99,38,99,"2022-12-10 18:02:45","2022-12-10 15:19:41",0,0,41076A,"Camel Bots","CAMPBELL COUNTY HIGH SCHOOL",Kentucky,"United States"
418,137,33,104,33,104,"2022-12-17 23:04:53","2022-12-17 20:36:38",0,0,82855S,"STL Supernova","St. Theresa of Lisieux C.H.S.",Ontario,Canada
419,137,31,106,31,106,"2022-11-13 03:02:17","2022-11-13 03:20:29",0,0,96969Z,"PAS-ICE CREAM","Pacific American School","Chinese Taipei",Taiwan
420,137,27,110,29,110,"2022-12-03 20:02:19","2022-11-19 20:16:06",0,0,1532F,"218 Ways to Break Down","BEMIDJI SENIOR HIGH",Minnesota,"United States"
421,137,28,109,28,109,"2022-12-10 22:45:09","2022-12-10 23:34:54",50,0,3304E,"Robolabs E Team",Robolabs,"California - Region 2","United States"
422,136,56,80,56,86,"2022-12-14 01:46:22","2022-12-03 19:37:09",48,0,44244M,Modulo,"Mukilteo Robotics",Washington,"United States"
423,136,27,109,48,109,"2022-12-03 18:50:57","2022-10-29 17:46:09",0,0,9065P,"Phantom Robotics","PLATTE COUNTY HIGH",Missouri,"United States"
424,136,39,97,39,97,"2022-11-12 17:21:13","2022-11-12 16:37:09",35,0,621A,"SFS Stands For Something","Marion County STEM 4-H Club",Indiana,"United States"
425,136,38,98,38,98,"2022-12-17 17:57:06","2022-12-17 16:52:48",0,0,12H,"If You Can't Beat Them On the Field...","The Potomac School",Virginia,"United States"
426,136,26,110,26,110,"2022-11-19 17:51:10","2022-11-19 19:37:15",0,0,7458F,"Arctic Knights","FISHER SECONDARY",Minnesota,"United States"
427,135,60,75,60,96,"2022-11-05 15:42:15","2022-12-17 21:18:29",0,0,586G,"Cowgirls From Heck","PLYMOUTH HIGH SCHOOL",Indiana,"United States"
428,135,44,91,44,91,"2022-11-05 16:34:07","2022-11-05 16:30:11",0,0,36830C,36830C,"AUBURN HIGH SCHOOL",Alabama,"United States"
429,135,43,92,43,92,"2022-12-03 19:39:41","2022-12-03 20:17:59",0,0,8031B,"Hudsonville 8031B","Hudsonville Robotics - HS",Michigan,"United States"
430,135,13,122,13,122,"2022-08-14 06:11:38","2022-08-14 05:44:08",0,0,7890S,"No.3 HSch Fuzhou","Fuzhou No.3 High School",China,China
431,134,67,67,67,67,"2022-10-22 12:13:41","2022-10-22 13:52:16",0,0,8031R,Rebound,"HUDSONVILLE HIGH SCHOOL",Michigan,"United States"
432,134,54,80,54,80,"2022-12-02 06:38:08","2022-12-02 07:59:02",0,3,11645A,"Nova X",新竹縣康乃薾美國學校,"Chinese Taipei",Taiwan
433,134,43,91,43,91,"2022-12-17 17:27:54","2022-12-17 18:03:13",18,0,719W,"Wired Wolverines","BENTONVILLE WEST HIGH SCHOOL",Arkansas,"United States"
434,134,38,96,38,96,"2022-12-16 21:02:02","2022-12-16 16:16:42",30,0,40684C,"Delta Males","NAPOLEON HIGH SCHOOL",Michigan,"United States"
435,134,32,102,32,102,"2022-11-26 09:29:23","2022-11-26 09:24:51",0,0,7618A,Earthmover,"Shanghai Xiangming High School",China,China
436,134,19,115,30,115,"2022-10-29 17:41:16","2022-11-05 18:56:52",53,0,355V,"Orange Mambas","Fox Valley Robotics",Illinois,"United States"
437,134,24,110,24,110,"2022-12-17 17:17:16","2022-12-17 14:53:43",0,0,1575Y,Yo-Yo,"Woodbridge High School",Virginia,"United States"
438,134,19,115,19,115,"2022-12-10 21:42:07","2022-12-10 21:56:30",29,0,2131F,"Real Housewives of DHS","DAVIS HIGH",Utah,"United States"
439,134,14,120,14,120,"2022-08-14 03:15:19","2022-08-14 02:48:20",0,0,18190A,BASIS-A,BIGZ,China,China
440,133,54,79,54,85,"2022-11-12 22:29:35","2022-10-29 16:32:48",1,0,2587B,"DiscoBots Beta","Lamar HS","Texas - Region 3","United States"
441,133,50,83,50,83,"2022-12-10 18:31:32","2022-12-10 18:21:53",45,0,70407R,Refraction,"Meahagh Robotics","New York-South","United States"
442,133,40,93,40,93,"2022-11-12 19:34:26","2022-11-12 17:12:58",0,0,99751E,"Blue Screws","Colorado Early College Fort Collins",Colorado,"United States"
443,133,39,94,39,94,"2022-12-10 23:14:30","2022-12-17 22:47:07",40,0,12478X,Bobaionics,"group of friends","California - Region 2","United States"
444,133,28,105,32,105,"2022-11-04 04:00:26","2022-11-13 21:00:50",51,0,295S,"PART S","Placer Advanced Robotics and Technology","California - Region 2","United States"
445,133,30,103,30,103,"2022-12-01 22:51:11","2022-12-01 21:49:38",7,0,9364B,"Iron Eagles - Burn","Brentwood Academy",Tennessee,"United States"
446,133,21,112,22,112,"2022-08-13 18:14:03","2022-12-03 20:54:56",0,0,9821A,synthWave,"EAST GRAND FORKS SENIOR HIGH",Minnesota,"United States"
447,133,22,111,22,111,"2022-08-14 03:26:58","2022-08-14 03:27:22",0,0,263R,Ruslan,"树德中学国际部 International Dept. of Shude High School",China,China
448,133,18,115,18,115,"2022-11-12 20:00:20","2022-11-12 19:00:11",0,0,80508X,¡Korvex!,,Virginia,"United States"
449,132,59,73,59,84,"2022-12-17 18:28:02","2022-11-12 17:29:36",0,0,1718Z,"Space Chicken","MONTGOMERY HIGH SCHOOL","Texas - Region 3","United States"
450,132,54,78,54,87,"2022-12-03 16:53:53","2022-11-30 21:53:58",13,0,33112A,"Robo Rangers - A","CONCORDIA LUTHERAN HIGH SCHOOL",Indiana,"United States"
451,132,53,79,53,79,"2022-12-10 17:22:54","2022-12-10 17:22:02",0,0,4811A,Serkk-it,Serkk-it,"Southern New England","United States"
452,132,49,83,49,93,"2022-10-22 13:58:54","2022-11-26 14:10:39",0,0,1197Z,"VEX FORCE","Beech Grove Academy","United Kingdom","United Kingdom"
453,132,45,87,45,87,"2022-12-02 20:01:11","2022-12-02 20:26:24",28,0,1082M,"Piece of Metal","LOVEJOY HIGH SCHOOL","Texas - Region 2","United States"
454,132,43,89,43,96,"2022-11-05 19:09:43","2022-12-03 20:00:12",0,0,77000X,RoboKodas,"RoboKodas Robotics Club","South Dakota","United States"
455,132,43,89,43,89,"2022-12-03 18:47:39","2022-12-03 19:00:43",0,0,654X,Parallax,"LAKE TRAVIS HIGH SCHOOL","Texas - Region 4","United States"
456,132,42,90,42,90,"2022-12-17 13:20:35","2022-12-17 18:27:29",0,0,46A,Inferno,"Seton School",Virginia,"United States"
457,132,34,98,34,98,"2022-12-11 20:28:30","2022-12-11 17:32:38",0,0,39U,Doraemon,"CRANBROOK SCHOOLS",Michigan,"United States"
458,132,32,100,32,106,"2022-11-19 17:15:13","2022-12-02 22:54:09",35,0,20203Z,"Robo Turtle",,"Southern New England","United States"
459,132,13,119,13,119,"2022-11-12 19:55:48","2022-11-12 18:40:17",0,0,70291E,"Reinvented Steel","Commerce High School","Texas - Region 2","United States"
460,132,0,132,0,132,,"2022-12-17 20:30:45",0,0,10955M,"MJS Robotics",MJES,Washington,"United States"
461,131,59,72,59,99,"2022-11-05 01:13:05","2022-12-17 15:16:06",10,0,6008A,"Apollo One","NORTH UNION HIGH SCHOOL",Ohio,"United States"
462,131,34,97,49,97,"2022-11-12 18:01:56","2022-11-19 18:15:46",0,0,81218B,LOL,"Loveless Academic Magnet Prog High School",Alabama,"United States"
463,131,49,82,49,95,"2022-12-03 17:35:41","2022-11-17 01:10:54",0,0,63600B,"GRCHS Speedway","GRAND RAPIDS CHRISTIAN HIGH SCHOOL",Michigan,"United States"
464,131,39,92,39,92,"2022-10-29 20:23:20","2022-10-29 19:09:37",58,0,20002G,GOLD!,"SILSBEE HIGH SCHOOL","Texas - Region 3","United States"
465,131,39,92,39,92,"2022-12-17 01:17:13","2022-12-17 02:23:46",58,0,91416X,Lechuga,"Wahoo Robotics",Nebraska,"United States"
466,131,39,92,39,92,"2022-12-10 19:14:19","2022-12-10 17:14:48",12,0,9080R,"The Rebel","SOUTH HAGERSTOWN HIGH",Maryland,"United States"
467,131,37,94,37,94,"2022-12-10 18:32:28","2022-12-10 17:23:32",0,0,8568A,Knights,"NORTH ANDOVER HIGH","Southern New England","United States"
468,131,33,98,33,100,"2022-11-19 06:44:49","2022-10-23 02:40:19",0,0,4253V,"Raid Zero V","Taipei American School","Chinese Taipei",Taiwan
469,131,18,113,18,113,"2022-12-10 15:31:48","2022-12-10 15:36:17",36,0,508T,PiraTech's,"Palm Bay Magnet HS","Florida - North/Central","United States"
470,130,54,76,54,76,"2022-12-17 18:46:54","2022-12-17 14:36:29",32,0,23322A,Orion,"GREAT BRIDGE HIGH",Virginia,"United States"
471,130,50,80,50,85,"2022-12-25 07:27:31","2022-12-18 08:52:25",0,0,63840R,Inferno,"Hisar Okulları",Türkiye,Türkiye
472,130,48,82,48,91,"2022-10-22 19:31:54","2022-11-19 20:55:16",0,0,1064A,"OPS - Nebraska Nerd Herd","OMAHA NORTH MAGNET HIGH SCHOOL",Nebraska,"United States"
473,130,46,84,46,86,"2022-12-09 00:30:01","2022-10-08 18:18:53",0,0,12876B,Eagles,"CHATTANOOGA SCHOOL FOR THE LIBERAL ARTS",Tennessee,"United States"
474,130,16,114,16,114,"2022-12-12 00:22:08","2022-12-12 00:17:13",39,0,5686G,"The Grumblers","MAZAMA HIGH SCHOOL",Oregon,"United States"
475,130,12,118,12,118,"2022-11-26 09:05:08","2022-11-26 09:15:42",0,0,4275A,CCK-1,"CMA Choi Cheung Kok Secondary School","Hong Kong","Hong Kong"
476,129,40,89,46,89,"2022-11-19 16:11:34","2022-12-04 17:20:00",0,0,119A,Inflection,"ST BERNARD SCHOOL","Southern New England","United States"
477,129,26,103,42,103,"2022-11-18 21:24:49","2022-12-10 19:30:36",0,0,9142C,"Crazy Caboose","CLAREMORE HIGH SCHOOL",Oklahoma,"United States"
478,129,34,95,34,95,"2022-12-10 19:12:58","2022-12-10 17:46:05",0,0,81Y,"VEXMEN: Cypher","Brandywine Robotics Inc.","Pennsylvania - East","United States"
479,129,27,102,27,103,"2022-12-10 20:58:24","2022-10-29 21:37:47",39,0,254W,"The Cheesy Poofs","Bellarmine College Preparatory","California - Region 2","United States"
480,129,22,107,26,107,"2022-11-05 17:12:33","2022-12-03 17:13:59",0,0,81218J,StoMos,"Loveless Academic Magnet Prog High School",Alabama,"United States"
481,129,22,107,22,107,"2022-12-18 18:51:04","2022-12-18 16:02:17",49,0,750B,Blitz,"SOUTH BRUNSWICK HIGH SCHOOL","New Jersey","United States"
482,129,19,110,19,115,"2022-12-17 17:45:07","2022-12-10 18:50:34",0,0,11124W,"Academic Weapons","ELYRIA HIGH SCHOOL",Ohio,"United States"
483,129,19,110,19,110,"2022-12-04 21:04:21","2022-12-04 22:45:46",0,0,393C,"Legacy Robotics","Legacy Magnet Academy","California - Region 4","United States"
484,129,0,129,0,129,,"2022-11-19 19:27:19",0,0,7701V,Vortex,"ZIONSVILLE COMMUNITY HIGH SCHOOL",Indiana,"United States"
485,128,53,75,53,77,"2022-11-05 13:36:32","2022-11-12 17:16:25",0,0,550A,"AHS Robotics","APOPKA HIGH","Florida - North/Central","United States"
486,128,0,128,45,128,"2022-12-03 19:48:54","2022-10-15 14:57:12",0,0,4154V,"University School Sharks Robotics","NSU UNIVERSITY SCHOOL","Florida - South","United States"
487,128,45,83,45,97,"2022-12-17 20:20:55","2022-12-10 19:12:46",0,0,6008E,Eclipse,"NORTH UNION HIGH SCHOOL",Ohio,"United States"
488,128,41,87,44,87,"2022-11-29 00:48:30","2022-12-03 17:43:15",14,0,3223F,"Vecna's Curse","WEST MICHIGAN AVIATION ACADEMY",Michigan,"United States"
489,128,42,86,42,92,"2022-11-19 20:59:12","2022-12-16 21:00:38",0,0,8110G,"Static Core","Mankato West Robotics",Minnesota,"United States"
490,128,37,91,37,91,"2022-12-10 19:25:14","2022-12-10 16:27:43",0,7,51617A,"The Hidden Gems","ROSE BUD HIGH SCHOOL",Arkansas,"United States"
491,128,35,93,35,97,"2022-11-12 12:35:00","2022-10-22 14:18:44",30,0,13765X,MTS_Terrorbytes,"Merchant Taylors' School","United Kingdom","United Kingdom"
492,128,32,96,32,96,"2022-11-18 21:34:08","2022-11-19 19:53:32",45,0,38141B,"PiBotics B","Ignite Institute",Kentucky,"United States"
493,128,24,104,27,104,"2022-12-10 18:25:59","2022-12-12 21:57:26",0,0,6403Z,"Zig Zag","Brookside High School",Ohio,"United States"
494,127,49,78,49,79,"2022-12-04 00:06:54","2022-11-02 00:49:17",49,0,75477M,YMK,"St John's Grammar School",Australia,Australia
495,127,48,79,48,85,"2022-12-04 22:56:58","2022-11-12 21:09:24",51,0,393B,"Legacy Robotics","Legacy Magnet Academy","California - Region 4","United States"
496,127,48,79,48,79,"2022-12-17 19:27:13","2022-12-17 22:13:42",0,0,179A,"Santa Fe Christian Robotics","Santa Fe Christian Schools","California - Region 4","United States"
497,127,19,108,24,108,"2022-12-02 18:48:15","2022-12-17 17:58:19",0,5,3350A,Ineffective,"TEXAS HIGH SCHOOL","Texas - Region 2","United States"
498,127,24,103,24,107,"2022-11-19 16:30:59","2022-12-08 00:40:35",0,0,231W,"High Voltage","DR KIRK LEWIS CAREER AND TECHNICAL HIGH SCHOOL","Texas - Region 3","United States"
499,127,22,105,22,105,"2022-10-15 20:17:16","2022-10-15 16:22:24",0,0,1082X,"Infinity's End","LOVEJOY HIGH SCHOOL","Texas - Region 2","United States"
500,127,0,127,0,127,,"2022-12-17 20:17:32",0,0,2567C,"Porta-Botz! - Chaos","PORTAGE HIGH SCHOOL",Indiana,"United States"
501,126,43,83,43,83,"2022-10-08 23:07:41","2022-10-08 23:14:54",0,0,77787B,"World Controller",77787B,"California - Region 2","United States"
502,126,41,85,41,87,"2022-12-10 20:32:15","2022-12-17 19:17:01",0,0,43146A,HoSBot,"ALFRED M. BARBE HIGH SCHOOL",Louisiana,"United States"
503,126,39,87,39,106,"2022-11-19 19:59:48","2022-12-10 19:24:07",56,0,1010N,"TenTon Robotics","West Vancouver School District #45","British Columbia (BC)",Canada
504,126,37,89,37,89,"2022-12-21 19:16:45","2022-12-21 18:56:07",47,0,14895A,"Large Predators","Wellsville Secondary School","New York-North","United States"
505,126,37,89,37,89,"2022-12-11 18:11:13","2022-12-11 16:47:17",0,0,39T,NP[C],"CRANBROOK SCHOOLS",Michigan,"United States"
506,126,31,95,31,95,"2022-12-17 16:34:08","2022-12-17 19:01:38",0,0,1575M,Maximus,"WOODBRIDGE HIGH",Virginia,"United States"
507,126,30,96,30,96,"2022-12-03 21:32:48","2022-12-03 20:59:05",0,0,9821D,"The Great Pacific Garbage Patch","EAST GRAND FORKS SENIOR HIGH",Minnesota,"United States"
508,126,27,99,27,99,"2022-12-17 20:07:09","2022-12-17 17:53:11",53,0,72116B,"72116 B","Catholic High School For Boys",Arkansas,"United States"
509,126,18,108,20,108,"2022-12-16 17:55:23","2022-11-12 19:13:52",38,0,9364D,"Iron Eagles - Duck Sauce","Brentwood Academy",Tennessee,"United States"
510,126,0,126,0,126,,"2022-11-05 17:11:54",0,0,57711X,Rocky,"Alchemy Global STEM Institute",Tennessee,"United States"
511,125,47,78,47,78,"2022-12-17 17:11:04","2022-12-17 18:34:32",0,0,46F,"Fighting Irish","Seton School",Virginia,"United States"
512,125,44,81,44,81,"2022-11-12 20:53:30","2022-11-12 21:03:08",0,0,88847B,"BRUT3 4CE","GRANBURY HIGH SCHOOL","Texas - Region 2","United States"
513,125,44,81,44,81,"2022-12-03 15:28:05","2022-12-03 19:43:29",0,0,8031E,"The Disk Flingers","HUDSONVILLE FRESHMAN BUILDING",Michigan,"United States"
514,125,43,82,43,84,"2022-12-17 15:45:18","2022-12-10 18:38:40",36,0,9080H,"Green Machine","SOUTH HAGERSTOWN HIGH",Maryland,"United States"
515,125,39,86,39,86,"2022-11-19 20:09:29","2022-11-19 18:48:42",34,0,7316X,Xcalibur,"FIRESTONE HIGH SCHOOL",Ohio,"United States"
516,125,36,89,36,89,"2022-10-22 19:44:33","2022-10-22 18:40:36",40,0,47969A,"Big Brains","PIKE ROAD HIGH SCHOOL",Alabama,"United States"
517,125,32,93,32,98,"2022-11-28 18:51:31","2022-12-10 17:26:55",0,0,63303V,"JCHS Robotics - Validation","JOHNSON CO HIGH SCHOOL",Tennessee,"United States"
518,125,27,98,30,98,"2022-11-02 02:55:40","2022-12-03 22:19:36",0,0,12906A,"SEHS Robotics A","Salisbury East High School",Australia,Australia
519,125,0,125,0,125,"2022-12-10 22:10:29","2022-12-10 18:43:00",0,0,2131H,WaiveLength,"DAVIS HIGH",Utah,"United States"
520,125,0,125,0,125,,"2022-12-10 20:22:58",0,0,3303S,"Dublin Robotics Spitzer","Dublin Robotics Club","California - Region 2","United States"
521,125,0,125,0,125,,"2022-12-17 15:40:41",0,0,90954A,"Buccaneer Robotics","South Dade Senior High School","Florida - South","United States"
522,124,44,80,66,80,"2022-12-17 15:39:50","2022-12-10 18:22:49",8,0,99402Z,"Hurricane Zenith","THE ACADEMIES AT JONESBORO HIGH SCHOOL",Arkansas,"United States"
523,124,61,63,61,71,"2022-11-17 02:05:16","2022-12-10 20:15:31",0,0,7110S,"Fired Up!","CARROLL HIGH SCHOOL","Texas - Region 2","United States"
524,124,41,83,41,83,"2022-11-19 19:15:30","2022-11-19 20:54:50",0,0,6264A,"Shawnigan Robotics","Shawnigan Lake School","Vancouver Island (BC)",Canada
525,124,40,84,40,90,"2022-12-18 00:09:54","2022-11-19 20:54:43",32,3,2459A,"GOLDEN HAWKS ROBOTICS","NANAKULI HIGH & INTERMEDIATE SCHOOL",Hawaii,"United States"
526,124,38,86,38,86,"2022-11-05 18:02:46","2022-11-05 19:08:36",0,0,20480Y,"Flared Bingus","SKYLINE HIGH SCHOOL","Texas - Region 2","United States"
527,124,36,88,36,88,"2022-12-03 17:12:46","2022-12-03 17:58:02",0,0,3223E,"The Dawn Blade","WEST MICHIGAN AVIATION ACADEMY",Michigan,"United States"
528,124,32,92,32,103,"2022-11-19 17:09:10","2022-12-03 15:46:15",0,0,82912A,Matrix,"Community Team",Arkansas,"United States"
529,124,32,92,32,92,"2022-11-21 18:53:50","2022-11-21 14:49:14",0,0,3118A,Astrobots,"CLEAR BROOK HIGH SCHOOL","Texas - Region 3","United States"
530,124,28,96,28,96,"2022-12-18 23:50:35","2022-12-19 00:01:31",39,0,93199G,"Gear Grinders","Private team",Washington,"United States"
531,124,22,102,22,110,"2022-11-12 22:49:23","2022-12-04 22:36:07",39,0,393D,"Legacy Robotics","Legacy Magnet Academy","California - Region 4","United States"
532,124,22,102,22,102,"2022-12-03 19:38:57","2022-12-03 19:46:47",0,0,63600A,"GRCHS Indecisive","GRAND RAPIDS CHRISTIAN HIGH SCHOOL",Michigan,"United States"
533,124,0,124,21,124,"2022-12-03 19:53:29","2022-12-16 02:27:34",44,0,5062X,XenoFox,"FOX VALLEY LUTHERAN HIGH SCHOOL",Wisconsin,"United States"
534,124,15,109,15,109,"2022-12-17 02:27:19","2022-12-17 02:13:54",0,0,2501A,"Jacket Robotics","THOMAS JEFFERSON HIGH SCHOOL",Iowa,"United States"
535,124,0,124,0,124,,"2022-12-04 22:11:59",0,0,6526G,"Damien Spartan Robotics","Damien High School","California - Region 4","United States"
536,123,49,74,49,74,"2022-12-10 19:00:00","2022-12-10 19:10:27",0,0,59708D,"Sinister Cephalopods","CENTRAL HIGH",Missouri,"United States"
537,123,48,75,48,75,"2022-11-12 14:48:36","2022-11-12 15:54:55",0,0,91130E,EMErgency,"Enginotic 6 Robotics",Virginia,"United States"
538,123,28,95,28,95,"2022-11-12 15:33:11","2022-11-12 17:42:27",0,0,80708Y,Exobits,Exobytes,Virginia,"United States"
539,123,25,98,25,98,"2022-12-03 22:19:17","2022-12-03 19:35:44",55,0,319K,Kodiak,,"California - Region 1","United States"
540,123,18,105,18,105,"2022-11-12 22:56:24","2022-11-12 22:05:33",45,0,2077X,Athena,2077,"California - Region 2","United States"
541,123,0,123,0,123,,"2022-12-11 22:36:21",0,0,5686E,Ringdown,"MAZAMA HIGH SCHOOL",Oregon,"United States"
542,123,0,123,0,123,,"2022-12-17 23:41:06",0,0,42700A,"42700 A",4270,Hawaii,"United States"
543,122,49,73,49,73,"2022-12-03 14:48:14","2022-12-03 19:28:07",21,0,63600E,"GRCHS Rubber Dinosaurs","GRAND RAPIDS CHRISTIAN HIGH SCHOOL",Michigan,"United States"
544,122,46,76,46,80,"2022-12-03 23:13:18","2022-11-13 00:16:18",30,0,91709C,"Cybernetics Ace","RUBEN S. AYALA HIGH","California - Region 4","United States"
545,122,43,79,43,80,"2022-12-10 19:59:52","2022-11-19 18:21:47",0,0,81218K,"Krusty Krabs","Loveless Academic Magnet Prog High School",Alabama,"United States"
546,122,33,89,33,89,"2022-12-10 15:03:55","2022-12-10 16:06:18",0,0,85843A,tECH,"EAST CENTRAL HIGH SCHOOL",Mississippi,"United States"
547,122,29,93,29,93,"2022-11-04 19:15:01","2022-11-04 17:53:34",0,0,63031C,"Kappa Sigma Kappa","Vallivue High School",Idaho,"United States"
548,122,8,114,8,114,"2022-08-14 08:36:10","2022-08-14 07:13:10",0,0,263Z,Zeppelin,"International Dept. of Shude High School",China,China
549,121,53,68,53,79,"2022-11-22 13:34:10","2022-12-10 16:16:49",0,0,30207A,R3,"THE ALTAMONT SCHOOL",Alabama,"United States"
550,121,51,70,51,87,"2022-10-29 15:02:30","2022-10-22 14:59:55",0,0,244D,"RoboDawgs: Chaos","Grandville Community Education",Michigan,"United States"
551,121,38,83,49,83,"2022-12-03 17:17:14","2022-11-19 15:46:43",8,0,13444B,"Geared UP","COVENANT CHRISTIAN HIGH SCHOOL",Michigan,"United States"
552,121,46,75,46,75,"2022-11-19 20:02:15","2022-11-19 17:58:51",37,0,1011A,"Ten Ton Robotics","West Vancouver School District #45","British Columbia (BC)",Canada
553,121,45,76,45,76,"2022-12-17 17:45:53","2022-12-17 19:36:10",0,0,2121D,VEXcellent,"Academies of Loudoun",Virginia,"United States"
554,121,34,87,34,87,"2022-11-05 18:21:19","2022-11-05 17:03:29",47,0,36830B,COSTELLO,"Auburn High School",Alabama,"United States"
555,121,30,91,30,91,"2022-12-10 21:18:57","2022-12-10 19:55:03",0,0,840G,"Watts Happening","Chow Chow Robotics",Arizona,"United States"
556,121,0,121,0,121,,"2022-12-03 21:17:46",0,0,85142Z,"Geared UP",QCRF,Arizona,"United States"
557,120,39,81,41,81,"2022-10-22 14:00:11","2022-12-03 18:05:04",0,5,99060W,"Bison Legit","WESTMINSTER SCHOOL AT OAK MOUNTAIN",Alabama,"United States"
558,120,41,79,41,79,"2022-11-19 19:33:43","2022-11-19 17:15:33",0,0,3018A,"Where is the Laptop",,Iowa,"United States"
559,120,34,86,39,86,"2022-12-02 18:03:38","2022-12-17 18:05:32",51,5,4478B,B.R.A.D.,"MASUK HIGH SCHOOL","Southern New England","United States"
560,120,38,82,38,86,"2022-11-19 18:48:27","2022-11-12 20:01:57",0,0,1075C,Chaos,"Heights Robotics",Indiana,"United States"
561,120,37,83,37,98,"2022-12-10 15:58:59","2022-12-03 15:00:49",47,0,3796A,"Mann Made","J. L. MANN HIGH ACADEMY","South Carolina","United States"
562,120,36,84,36,84,"2022-12-11 19:05:55","2022-12-11 20:44:53",0,0,39R,RNG,"CRANBROOK SCHOOLS",Michigan,"United States"
563,120,33,87,33,94,"2022-11-05 16:35:17","2022-12-17 15:18:17",0,0,108A,Flare,Independent,Michigan,"United States"
564,120,32,88,32,88,"2022-11-30 20:18:32","2022-11-30 20:11:13",0,0,3303G,"Dublin Robotics Genesis","Dublin Robotics Club","California - Region 2","United States"
565,120,28,92,28,92,"2022-12-16 21:37:03","2022-12-16 15:52:05",0,0,98377B,"Tigris ex Machina II","TECHNICAL SENIOR HIGH",Minnesota,"United States"
566,120,23,97,23,97,"2022-11-05 18:49:58","2022-11-05 16:54:55",0,0,9447B,"Wild Cards","Palmetto Scholars Academy","South Carolina","United States"
567,120,13,107,13,108,"2022-11-05 14:31:23","2022-12-03 18:18:16",0,0,2158A,"B.L.A.A.C.K O.P.S.","Anderson High School","Texas - Region 4","United States"
568,120,6,114,6,114,"2022-12-17 02:11:37","2022-12-17 01:29:11",0,0,1028X,ChinaHutch,"Brownell Talbot College Preparatory School",Nebraska,"United States"
569,120,0,120,0,120,,"2022-12-17 18:23:55",0,0,343K,Robodogs,"ST ALBANS SCHOOL","District of Columbia","United States"
570,119,14,105,21,105,"2022-10-29 18:27:03","2022-11-05 18:00:52",39,0,7983Y,"Centennial CyberHawks Y","Centennial High School","California - Region 3","United States"
